"Name","PowerState","MemoryMB","NumCpu","Guest"
"00BCKNB150","PoweredOn","32768","4","00BCKNB150:CentOS 8 (64-bit)"
"VMware vCenter Server7.0.3","PoweredOn","28672","8","VMware vCenter Server7.0.3:VMware Photon OS (64-bit)"
"dbssrv09","PoweredOn","16384","4","dbssrv09:Red Hat Enterprise Linux 8 (64-bit)"
"00GIT216","PoweredOn","16384","2","00GIT216:CentOS 8 (64-bit)"
"00AD40","PoweredOn","16384","4","00AD40:Microsoft Windows Server 2019 (64-bit)"
"X2DATABASE137","PoweredOn","65536","16","X2DATABASE137:Microsoft Windows Server 2016 (64-bit)"
"00NBGA198","PoweredOn","65536","16","00NBGA198:Microsoft Windows Server 2016 (64-bit)"
"00PRTG_SR77","PoweredOff","16384","8","00PRTG_SR77:"
"00IDERA159","PoweredOn","16384","2","00IDERA159:Microsoft Windows Server 2019 (64-bit)"
"00NAS24","PoweredOn","16384","2","00NAS24:Microsoft Windows Server 2019 (64-bit)"
"00SCCM121","PoweredOn","32768","4","00SCCM121:Microsoft Windows Server 2016 (64-bit)"
"00reporting154","PoweredOn","12288","2","00reporting154:Microsoft Windows Server 2019 (64-bit)"
"00SCCM122","PoweredOn","32768","6","00SCCM122:Microsoft Windows Server 2016 (64-bit)"
"00NAVIS76","PoweredOn","16384","4","00NAVIS76:Microsoft Windows Server 2016 (64-bit)"
"00Kaspersky21","PoweredOn","16384","4","00Kaspersky21:Microsoft Windows Server 2019 (64-bit)"
"00Qlikview113","PoweredOn","24576","8","00Qlikview113:Microsoft Windows Server 2019 (64-bit)"
"00LOG360180","PoweredOn","32768","10","00LOG360180:Microsoft Windows Server 2016 (64-bit)"
"dbssrvnb183_v1","PoweredOn","131072","12","dbssrvnb183_v1:Red Hat Enterprise Linux 8 (64-bit)"
"00_nb_NGINX_01_130","PoweredOff","65536","1","00_nb_NGINX_01_130:"
"00_IDS_HQ_01_131","PoweredOff","65536","1","00_IDS_HQ_01_131:"
"00_ETC_DOCKER-83","PoweredOn","32768","4","00_ETC_DOCKER-83:Ubuntu Linux (64-bit)"
"BACKUP-090423-84","PoweredOff","2048","1","BACKUP-090423-84:"
"00-PASSBOLT-16","PoweredOff","2048","2","00-PASSBOLT-16:"
"72_cmAXN_15","PoweredOn","65536","1","72_cmAXN_15:Red Hat Enterprise Linux 8 (64-bit)"
"72_IFX_DBSSRV21_10","PoweredOn","262144","8","72_IFX_DBSSRV21_10:Red Hat Enterprise Linux 8 (64-bit)"
"00_nisnb_204","PoweredOff","2048","2","00_nisnb_204:"
"00nbprod157_V1","PoweredOn","65536","16","00nbprod157_V1:Microsoft Windows Server 2022 (64-bit)"
"00nbprod158_v1","PoweredOff","65536","16","00nbprod158_v1:"
"00nbprod155_ORI","PoweredOff","65536","16","00nbprod155_ORI:"
"00_CM00_80","PoweredOn","65536","4","00_CM00_80:Red Hat Enterprise Linux 8 (64-bit)"
"00_CM01_81","PoweredOff","65536","4","00_CM01_81:"
"00_CM02_82","PoweredOff","65536","4","00_CM02_82:"
"00_CM04_132","PoweredOff","65536","4","00_CM04_132:"
"00nbprod153","PoweredOn","32768","8","00nbprod153:Microsoft Windows Server 2012 (64-bit)"
"00-AXON-wincli-197","PoweredOn","8192","4","00-AXON-wincli-197:"
"72nbaxon05","PoweredOn","65536","16","72nbaxon05:Microsoft Windows Server 2012 (64-bit)"
"MI_00nbprod155_ORI","PoweredOff","65536","16","MI_00nbprod155_ORI:"
"MI_00nbprod153","PoweredOff","32768","8","MI_00nbprod153:"
"MI_00_CM04_132","PoweredOff","65536","4","MI_00_CM04_132:"
