"Name","PowerState","MemoryMB","NumCpu","Guest"
"dbssrvnb183_v1","PoweredOn","131072","12","dbssrvnb183_v1:Red Hat Enterprise Linux 8 (64-bit)"
"00_nb_NGINX_01_130","PoweredOff","65536","1","00_nb_NGINX_01_130:"
"00_IDS_HQ_01_131","PoweredOff","65536","1","00_IDS_HQ_01_131:"
"00_ETC_DOCKER-83","PoweredOn","32768","4","00_ETC_DOCKER-83:Ubuntu Linux (64-bit)"
"BACKUP-090423-84","PoweredOff","2048","1","BACKUP-090423-84:"
"00-PASSBOLT-16","PoweredOff","2048","2","00-PASSBOLT-16:"
"72_cmAXN_15","PoweredOn","65536","1","72_cmAXN_15:Red Hat Enterprise Linux 8 (64-bit)"
"72_IFX_DBSSRV21_10","PoweredOn","262144","8","72_IFX_DBSSRV21_10:Red Hat Enterprise Linux 8 (64-bit)"
"00_nisnb_204","PoweredOff","2048","2","00_nisnb_204:"
"00nbprod157_V1","PoweredOn","65536","16","00nbprod157_V1:Microsoft Windows Server 2022 (64-bit)"
"00nbprod158_v1","PoweredOff","65536","16","00nbprod158_v1:"
"00nbprod155_ORI","PoweredOff","65536","16","00nbprod155_ORI:"
"00_CM00_80","PoweredOn","65536","4","00_CM00_80:Red Hat Enterprise Linux 8 (64-bit)"
"00_CM01_81","PoweredOff","65536","4","00_CM01_81:"
"00_CM02_82","PoweredOff","65536","4","00_CM02_82:"
"00_CM04_132","PoweredOff","65536","4","00_CM04_132:"
"00nbprod153","PoweredOn","32768","8","00nbprod153:Microsoft Windows Server 2012 (64-bit)"
"00-AXON-wincli-197","PoweredOn","8192","4","00-AXON-wincli-197:"
"72nbaxon05","PoweredOn","65536","16","72nbaxon05:Microsoft Windows Server 2012 (64-bit)"
"MI_00nbprod155_ORI","PoweredOff","65536","16","MI_00nbprod155_ORI:"
"MI_00nbprod153","PoweredOff","32768","8","MI_00nbprod153:"
"MI_00_CM04_132","PoweredOff","65536","4","MI_00_CM04_132:"
